name,opponent_name,winner,1st_Serve,1st_Serve_won,2nd_Serve_won,1st_Serve_Return_won,2nd_Serve_Return_won,Return_points_won
Matteo Arnaldi,Jan Lennard Struff,TRUE,63.00%,70.70%,55.90%,30.80%,56.30%,40.50%
Taylor Harry Fritz,Kei Nishikori,TRUE,63.00%,86.20%,76.50%,31.60%,55.00%,39.70%
Daniil Medvedev,Karen Khachanov,TRUE,62.90%,80.40%,48.50%,22.00%,63.30%,36.00%
Alex De Minaur,Thiago Agustin Tirante,TRUE,62.90%,86.40%,69.20%,46.40%,63.60%,54.00%
Alexander Zverev,Yoshihito Nishioka,TRUE,62.80%,71.40%,55.20%,34.10%,48.60%,40.50%
Harold Mayot,Gregoire Barrere,TRUE,62.80%,68.40%,57.80%,26.80%,55.30%,35.80%
Jordan Thompson,Kevin Anderson,TRUE,62.80%,79.60%,56.30%,26.70%,60.00%,38.90%
Gael Monfils,Pavel Kotov,TRUE,62.80%,76.30%,48.60%,31.90%,54.50%,39.00%
Andrey Rublev,Ugo Humbert,TRUE,62.70%,71.90%,63.20%,47.50%,54.80%,50.70%
Tallon Griekspoor,Alejandro Davidovich Fokina,TRUE,62.70%,84.40%,47.40%,40.00%,60.00%,47.30%
Laslo Djere,Leo Borg,TRUE,62.70%,70.30%,54.50%,26.30%,81.00%,45.80%
Nicolas Jarry,Alexei Popyrin,TRUE,62.70%,88.10%,64.00%,27.90%,51.40%,36.50%
Borna Coric,Rinky Hijikata,TRUE,62.70%,80.90%,46.40%,37.10%,48.50%,42.60%
Felix Auger Aliassime,Aleksandar Vukic,TRUE,62.60%,72.60%,54.10%,33.70%,60.00%,43.40%
Lorenzo Sonego,Dusan Lajovic,TRUE,62.60%,71.00%,64.90%,30.20%,42.10%,32.90%
Alexander Zverev,Pavel Kotov,TRUE,62.50%,86.00%,56.70%,27.30%,52.80%,36.30%
Marc Andrea Huesler,Richard Gasquet,FALSE,62.50%,72.50%,45.80%,25.00%,43.20%,33.80%
Thanasi Kokkinakis,Ugo Humbert,FALSE,62.50%,78.30%,52.80%,25.80%,62.80%,40.40%
Alexei Popyrin,Christian Garin,TRUE,62.40%,75.00%,51.20%,34.80%,47.90%,40.20%
Ugo Humbert,Taylor Harry Fritz,FALSE,62.40%,77.60%,48.60%,23.30%,52.10%,36.10%
Andrey Rublev,Alexei Popyrin,TRUE,62.30%,68.80%,51.70%,32.60%,54.50%,40.00%
Mackenzie Mcdonald,Kimmer Coppejans,TRUE,62.30%,79.20%,55.20%,32.60%,54.80%,43.20%
Aslan Karatsev,Alex De Minaur,TRUE,62.30%,72.10%,53.80%,33.30%,50.00%,39.60%
Laslo Djere,Luca Van Assche,TRUE,62.30%,70.40%,55.80%,30.50%,47.50%,37.40%
